65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,5
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,8
112,8
113,8
114,8
115,8
116,8
117,9
118,9
119,9
120,9
121,9
122,9
123,10
124,11
125,11
126,11
127,11
128,11
129,12
130,12
131,11
132,11
133,11
134,11
135,11
136,12
137,12
138,12
139,12
140,12
141,12
142,12
143,12
144,12
145,12
146,12
147,12
148,13
149,13
150,13
151,13
152,13
153,13
154,13
155,12
156,12
157,12
158,12
159,11
160,12
161,12
162,12
163,12
164,12
165,12
166,12
167,12
168,11
169,11
170,11
171,11
172,11
173,11
174,11
175,11
176,11
177,10
178,11
179,11
180,10
181,10
182,10
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,8
192,8
193,8
194,8
195,7
196,7
197,7
198,7
199,7
200,7
201,8
202,7
203,7
204,6
205,6
206,6
207,6
208,5
209,5
210,5
211,5
212,5
213,4
214,4
215,4
216,3
217,3
218,3
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
