Model,Month,a,b,c,Precision
D3217Ho,2019/1/1,0.62,0.35,0.03,0.0107443
D3217Ho,2019/2/1,0.4,0.6,0,0.0111721
D3217Ho,2019/3/1,0.2,0.03,0.77,0.00526164
D3217Ho,2019/4/1,0,0.31,0.69,0.00500897
D3217Ho,2019/5/1,0.34,0.65,0.00999999,0.00486527
D3217Ho,2019/6/1,0.27,0.44,0.29,0.00510655
D3217Ho,2019/7/1,0.52,0,0.48,0.00398951
D3217Ho,2019/8/1,0.08,0.85,0.07,0.00541693
D3217Ho,2019/9/1,0.07,0.16,0.77,0.00493327
E1715Sc,2018/5/1,0.44,0.14,0.42,0.00361667
E1715Sc,2018/6/1,0.33,0.13,0.54,0.00366643
E1715Sc,2018/7/1,0.07,0.79,0.14,0.00456617
E1715Sc,2018/8/1,0.07,0,0.93,0.00351764
E1715Sc,2018/9/1,0,0.73,0.27,0.00410294
E1715Sc,2018/10/1,0.71,0.02,0.27,0.00460472
E1715Sc,2018/11/1,0.56,0,0.44,0.00542321
E1715Sc,2018/12/1,0,0.73,0.27,0.00543577
E1715Sc,2019/1/1,0.28,0.71,0.0100001,0.0079676
E1715Sc,2019/2/1,0.99,0,0.00999999,0.00728832
E1715Sc,2019/3/1,0,0.14,0.86,0.00268292
E1715Sc,2019/4/1,0.02,0.28,0.7,0.00302545
E1715Sc,2019/5/1,0.65,0.27,0.08,0.00333509
E1715Sc,2019/6/1,0.53,0.47,2.98023e-08,0.00201014
E1715Sc,2019/7/1,0.34,0.65,0.00999999,0.0026077
E1715Sc,2019/8/1,0.19,0.33,0.48,0.0031554
E1715Sc,2019/9/1,0.42,0.28,0.3,0.00239974
E1916Hf,2018/5/1,0.09,0.09,0.82,0.00963895
E1916Hf,2018/6/1,0,0,1,0
E1916Hf,2018/7/1,0.96,0.04,2.23517e-08,0.00783946
E1916Hf,2018/8/1,0.42,0,0.58,0.00509374
E1916Hf,2018/9/1,0,0,1,0.0049131
E1916Hf,2018/10/1,0,0.92,0.08,0.00598529
E1916Hf,2018/11/1,0.39,0.09,0.52,0.00592628
E1916Hf,2018/12/1,0.29,0.3,0.41,0.00439064
E1916Hf,2019/1/1,0.73,0.07,0.2,0.00483066
E1916Hf,2019/2/1,0.46,0,0.54,0.0064854
E1916Hf,2019/3/1,0.05,0.49,0.46,0.00435818
E1916Hf,2019/4/1,0.32,0.67,0.00999999,0.00477677
E1916Hf,2019/5/1,0.44,0.01,0.55,0.00423495
E1916Hf,2019/6/1,0,0.51,0.49,0.00589603
E1916Hf,2019/7/1,0,0.85,0.15,0.00888167
E1916Hf,2019/8/1,0,0,1,0.0106491
E1916Hf,2019/9/1,0,0.06,0.94,0.00299073
E1916HVf,2018/5/1,0.99,0,0.00999999,0.00304902
E1916HVf,2018/6/1,0.32,0.23,0.45,0.00445823
E1916HVf,2018/7/1,0.03,0.96,0.0100001,0.00954857
E1916HVf,2018/8/1,0.14,0.85,0.00999999,0.00971231
E1916HVf,2018/9/1,0,0.06,0.94,0.00561845
E1916HVf,2018/10/1,0,0.41,0.59,0.00397586
E1916HVf,2018/11/1,0.59,0.41,2.98023e-08,0.00542561
E1916HVf,2018/12/1,0.41,0.22,0.37,0.00404185
E1916HVf,2019/1/1,0.15,0,0.85,0.0045737
E1916HVf,2019/2/1,0,0.1,0.9,0.00465103
E1916HVf,2019/3/1,0.01,0.78,0.21,0.00358168
E1916HVf,2019/4/1,0.87,0.11,0.02,0.0035249
E1916HVf,2019/5/1,0,0.64,0.36,0.00431872
E1916HVf,2019/6/1,0.47,0.52,0.00999999,0.00843702
E1916HVf,2019/7/1,0.18,0.81,0.00999999,0.00781481
E1916HVf,2019/8/1,0.96,0.04,2.23517e-08,0.00939298
E1916HVf,2019/9/1,0.08,0.12,0.8,0.00243982
E2016Hb,2018/5/1,0.14,0.75,0.11,0.00663809
E2016Hb,2018/6/1,0,0,1,0.00682773
E2016Hb,2018/7/1,0.12,0.87,0.00999999,0.00965317
E2016Hb,2018/8/1,0.99,0,0.00999999,0.00859279
E2016Hb,2018/9/1,0,0,1,0.00350272
E2016Hb,2018/10/1,0.07,0.83,0.1,0.00243241
E2016Hb,2018/11/1,0.63,0,0.37,0.0027915
E2016Hb,2018/12/1,0,0.12,0.88,0.00281541
E2016Hb,2019/1/1,0,0.61,0.39,0.0027653
E2016Hb,2019/2/1,0.04,0.3,0.66,0.00224165
E2016Hb,2019/3/1,0,0.99,0.00999999,0.00206018
E2016Hb,2019/4/1,0.2,0.28,0.52,0.0018049
E2016Hb,2019/5/1,0.83,0.17,1.49012e-08,0.00283707
E2016Hb,2019/6/1,0.23,0,0.77,0.0021291
E2016Hb,2019/7/1,0.83,0.17,1.49012e-08,0.0079166
E2016Hb,2019/8/1,0.46,0,0.54,0.00771002
E2016Hb,2019/9/1,0,0.11,0.89,0.00160975
E2016HM,2018/5/1,0,0.1,0.9,0.00246206
E2016HM,2018/6/1,0.23,0.14,0.63,0.00210035
E2016HM,2018/7/1,0.99,0,0.00999999,0.00826507
E2016HM,2018/8/1,0.99,0,0.00999999,0.00961992
E2016HM,2018/9/1,0,0.99,0.00999999,0.00886765
E2016HM,2018/10/1,0,0,1,0.00532213
E2016HM,2018/11/1,0.12,0.09,0.79,0.00583076
E2016HM,2018/12/1,0.25,0.6,0.15,0.00547969
E2016HM,2019/1/1,0,0.48,0.52,0.00684747
E2016HM,2019/2/1,0,0.99,0.00999999,0.0058961
E2016HM,2019/3/1,0.42,0.44,0.14,0.00440441
E2016HM,2019/4/1,0,0.77,0.23,0.00766248
E2016HM,2019/5/1,0.47,0.46,0.07,0.00519669
E2016HM,2019/6/1,0.12,0.27,0.61,0.00553575
E2016HM,2019/7/1,0.42,0.29,0.29,0.00696061
E2016HM,2019/8/1,0.52,0.39,0.09,0.00980393
E2016HM,2019/9/1,0,0,1,0.00453385
E2016HVf,2018/5/1,0.77,0.23,1.49012e-08,0.00238225
E2016HVf,2018/6/1,0.59,0,0.41,0.00288923
E2016HVf,2018/7/1,0.01,0.4,0.59,0.00609235
E2016HVf,2018/8/1,0.15,0.84,0.0100001,0.00641676
E2016HVf,2018/9/1,0.05,0,0.95,0.00262732
E2016HVf,2018/10/1,0,0.6,0.4,0.00293804
E2016HVf,2018/11/1,0.17,0.48,0.35,0.00341473
E2016HVf,2018/12/1,0.52,0.01,0.47,0.00393113
E2016HVf,2019/1/1,0.18,0.35,0.47,0.00225724
E2016HVf,2019/2/1,0.18,0.4,0.42,0.00288069
E2016HVf,2019/3/1,0.04,0.41,0.55,0.00249281
E2016HVf,2019/4/1,0.7,0.19,0.11,0.00295612
E2016HVf,2019/5/1,0.11,0,0.89,0.00274859
E2016HVf,2019/6/1,0,0.93,0.07,0.002464
E2016HVf,2019/7/1,0.65,0.35,2.98023e-08,0.00626209
E2016HVf,2019/8/1,0,0,1,0.00710837
E2016HVf,2019/9/1,0,0.11,0.89,0.00219708
E2016t,2018/5/1,0.99,0,0.00999999,0.00258295
E2016t,2018/6/1,0.39,0,0.61,0.00262428
E2016t,2018/7/1,0.99,0,0.00999999,0.00802596
E2016t,2018/8/1,0.08,0,0.92,0.00819081
E2016t,2018/9/1,0,0,1,0.00663423
E2016t,2018/10/1,0,0,1,0.00818414
E2016t,2018/11/1,0.88,0,0.12,0.00555617
E2016t,2018/12/1,0.78,0.22,2.98023e-08,0.00586535
E2016t,2019/1/1,0.41,0,0.59,0.00621364
E2016t,2019/2/1,0.16,0.48,0.36,0.00503782
E2016t,2019/3/1,0,0.5,0.5,0.00599766
E2016t,2019/4/1,0,0.98,0.02,0.00580178
E2016t,2019/5/1,0,0,1,0.00743374
E2016t,2019/6/1,0.12,0.68,0.2,0.00541083
E2016t,2019/7/1,0,0.99,0.00999999,0.00865372
E2016t,2019/8/1,0.63,0.22,0.15,0.00945827
E2016t,2019/9/1,0.01,0.11,0.88,0.00563807
E2216Hf,2018/5/1,0.52,0,0.48,0.0032643
E2216Hf,2018/6/1,0.42,0.58,5.96046e-08,0.00372238
E2216Hf,2018/7/1,0,0,1,0.00783353
E2216Hf,2018/8/1,0,0.99,0.00999999,0.00828676
E2216Hf,2018/9/1,0,0.01,0.99,0.0035123
E2216Hf,2018/10/1,0,0.99,0.00999999,0.0039822
E2216Hf,2018/11/1,0.25,0,0.75,0.0040556
E2216Hf,2018/12/1,0.2,0.79,0.00999999,0.00356998
E2216Hf,2019/1/1,0.42,0.51,0.0700001,0.00308647
E2216Hf,2019/2/1,0.26,0,0.74,0.0030769
E2216Hf,2019/3/1,0.3,0.23,0.47,0.00302022
E2216Hf,2019/4/1,0.57,0.25,0.18,0.00263522
E2216Hf,2019/5/1,0.36,0.41,0.23,0.00311332
E2216Hf,2019/6/1,0.47,0.09,0.44,0.00317179
E2216Hf,2019/7/1,0.99,0,0.00999999,0.00666492
E2216Hf,2019/8/1,0.75,0,0.25,0.00667517
E2216Hf,2019/9/1,0,0.1,0.9,0.00194155
E2216HVf,2018/5/1,0,0,1,0.00263511
E2216HVf,2018/6/1,0.07,0.11,0.82,0.002045
E2216HVf,2018/7/1,0.99,0,0.00999999,0.00864764
E2216HVf,2018/8/1,0.99,0,0.00999999,0.0102962
E2216HVf,2018/9/1,0,0,1,0.00323221
E2216HVf,2018/10/1,0,0.99,0.00999999,0.00265189
E2216HVf,2018/11/1,0.57,0.14,0.29,0.00377871
E2216HVf,2018/12/1,0.23,0,0.77,0.00340167
E2216HVf,2019/1/1,0.24,0.56,0.2,0.0030197
E2216HVf,2019/2/1,0.58,0,0.42,0.00244186
E2216HVf,2019/3/1,0.07,0,0.93,0.00243674
E2216HVf,2019/4/1,0.26,0.31,0.43,0.00219677
E2216HVf,2019/5/1,0,0.92,0.08,0.00275613
E2216HVf,2019/6/1,0.44,0,0.56,0.00243277
E2216HVf,2019/7/1,0.54,0,0.46,0.00825015
E2216HVf,2019/8/1,0,0.99,0.00999999,0.00804841
E2216HVf,2019/9/1,0.04,0,0.96,0.00172971
E2219HNo,2018/5/1,0,0.17,0.83,0.00206615
E2219HNo,2018/6/1,0.22,0.12,0.66,0.00204937
E2219HNo,2018/7/1,0.96,0.04,2.23517e-08,0.0101251
E2219HNo,2018/8/1,0.99,0,0.00999999,0.0102733
E2219HNo,2018/9/1,0.36,0,0.64,0.00552028
E2219HNo,2018/10/1,0,0.67,0.33,0.00572712
E2219HNo,2018/11/1,0.04,0.47,0.49,0.00428922
E2219HNo,2018/12/1,0,0.45,0.55,0.00853758
E2219HNo,2019/1/1,0.31,0,0.69,0.00598746
E2219HNo,2019/2/1,0,0.99,0.00999999,0.00631975
E2219HNo,2019/3/1,0.99,0,0.00999999,0.00636988
E2219HNo,2019/4/1,0,0.51,0.49,0.00859027
E2219HNo,2019/5/1,0.74,0.01,0.25,0.00663024
E2219HNo,2019/6/1,0,0.29,0.71,0.00605463
E2219HNo,2019/7/1,0.73,0.18,0.09,0.00756667
E2219HNo,2019/8/1,0.46,0.53,0.00999999,0.00914933
E2219HNo,2019/9/1,0,0,1,0.00389552
E2316Hf,2018/5/1,0,0.54,0.46,0.00245107
E2316Hf,2018/6/1,0,0.42,0.58,0.00217927
E2316Hf,2018/7/1,0,0.73,0.27,0.00884344
E2316Hf,2018/8/1,0.19,0.2,0.61,0.00906728
E2316Hf,2018/9/1,0,0,1,0.00360415
E2316Hf,2018/10/1,0,0.99,0.00999999,0.00365713
E2316Hf,2018/11/1,0.41,0,0.59,0.00255095
E2316Hf,2018/12/1,0.07,0,0.93,0.00217014
E2316Hf,2019/1/1,0.38,0,0.62,0.0029663
E2316Hf,2019/2/1,0,0,1,0.00179199
E2316Hf,2019/3/1,0.18,0.38,0.44,0.00138206
E2316Hf,2019/4/1,0.99,0,0.00999999,0.00174752
E2316Hf,2019/5/1,0.19,0.23,0.58,0.00306731
E2316Hf,2019/6/1,0,0,1,0.0027212
E2316Hf,2019/7/1,0.99,0,0.00999999,0.00619655
E2316Hf,2019/8/1,0,0,1,0.00602055
E2316Hf,2019/9/1,0,0.15,0.85,0.00110606
E2318Hf,2018/5/1,0,0.25,0.75,0.00143177
E2318Hf,2018/6/1,0,0.99,0.00999999,0.00163268
E2318Hf,2018/7/1,0.99,0,0.00999999,0.0121237
E2318Hf,2018/8/1,0.99,0,0.00999999,0.0105107
E2318Hf,2018/9/1,0,0,1,0.00922574
E2318Hf,2018/10/1,0,0.67,0.33,0.00598079
E2318Hf,2018/11/1,0.31,0.15,0.54,0.00505921
E2318Hf,2018/12/1,0.72,0,0.28,0.00485112
E2318Hf,2019/1/1,0,0.3,0.7,0.00625
E2318Hf,2019/2/1,0.35,0.36,0.29,0.0044204
E2318Hf,2019/3/1,0.16,0.37,0.47,0.00494853
E2318Hf,2019/4/1,0,0,1,0.00527242
E2318Hf,2019/5/1,0.01,0.98,0.00999999,0.00345672
E2318Hf,2019/6/1,0.77,0,0.23,0.0043994
E2318Hf,2019/7/1,0,0,1,0.00803708
E2318Hf,2019/8/1,0,0.47,0.53,0.00668774
E2318Hf,2019/9/1,0.09,0,0.91,0.00281541
E2417Hb,2018/5/1,0.29,0.45,0.26,0.00247642
E2417Hb,2018/6/1,0.12,0.12,0.76,0.00235088
E2417Hb,2018/7/1,0.69,0,0.31,0.00806168
E2417Hb,2018/8/1,0.68,0.31,0.00999999,0.00673852
E2417Hb,2018/9/1,0.07,0,0.93,0.00366724
E2417Hb,2018/10/1,0.15,0.84,0.0100001,0.00325812
E2417Hb,2018/11/1,0.7,0.3,0,0.00345378
E2417Hb,2018/12/1,0.35,0.04,0.61,0.00292825
E2417Hb,2019/1/1,0.01,0.78,0.21,0.00328661
E2417Hb,2019/2/1,0,0.31,0.69,0.00250336
E2417Hb,2019/3/1,0.15,0.18,0.67,0.00253476
E2417Hb,2019/4/1,0.27,0.3,0.43,0.00289151
E2417Hb,2019/5/1,0.48,0.19,0.33,0.00268583
E2417Hb,2019/6/1,0,0,1,0.00327574
E2417Hb,2019/7/1,0.32,0,0.68,0.00828198
E2417Hb,2019/8/1,0,0.99,0.00999999,0.00730408
E2417Hb,2019/9/1,0.09,0,0.91,0.00180168
E2418HNb,2018/5/1,0,0,1,0.0012764
E2418HNb,2018/6/1,0,0.88,0.12,0.00163153
E2418HNb,2018/7/1,0,0.99,0.00999999,0.00573168
E2418HNb,2018/8/1,0.99,0,0.00999999,0.010381
E2418HNb,2018/9/1,0,0,1,0.006922
E2418HNb,2018/10/1,0,0.99,0.00999999,0.0076173
E2418HNb,2018/11/1,0.86,0,0.14,0.00665643
E2418HNb,2018/12/1,0.46,0.25,0.29,0.00712557
E2418HNb,2019/1/1,0.23,0.34,0.43,0.00808585
E2418HNb,2019/2/1,0,0,1,0.00713012
E2418HNb,2019/3/1,0.22,0.41,0.37,0.00581215
E2418HNb,2019/4/1,0,0.94,0.06,0.00870406
E2418HNb,2019/5/1,0,0,1,0.00408497
E2418HNb,2019/6/1,0.07,0.54,0.39,0.00366909
E2418HNb,2019/7/1,0.12,0.58,0.3,0.00492281
E2418HNb,2019/8/1,0.56,0.43,0.00999999,0.00644377
E2418HNb,2019/9/1,0.05,0,0.95,0.0034758
P1917Sc,2018/5/1,0.44,0,0.56,0.0027691
P1917Sc,2018/6/1,0,0.24,0.76,0.00251136
P1917Sc,2018/7/1,0,0,1,0.00889768
P1917Sc,2018/8/1,0.99,0,0.00999999,0.00901807
P1917Sc,2018/9/1,0.08,0,0.92,0.00462724
P1917Sc,2018/10/1,0.1,0.73,0.17,0.00383214
P1917Sc,2018/11/1,0.27,0.39,0.34,0.00400991
P1917Sc,2018/12/1,0.01,0.67,0.32,0.00402476
P1917Sc,2019/1/1,0,0.78,0.22,0.00547909
P1917Sc,2019/2/1,0.02,0.92,0.06,0.00434128
P1917Sc,2019/3/1,0.11,0.88,0.00999999,0.00457592
P1917Sc,2019/4/1,0.53,0,0.47,0.00465014
P1917Sc,2019/5/1,0.27,0.54,0.19,0.00549828
P1917Sc,2019/6/1,0,0.29,0.71,0.003917
P1917Sc,2019/7/1,0.59,0,0.41,0.00876736
P1917Sc,2019/8/1,0.38,0.01,0.61,0.0110302
P1917Sc,2019/9/1,0,0,1,0.00579209
P2217c,2018/5/1,0.53,0.47,2.98023e-08,0.00384686
P2217c,2018/6/1,0.67,0.32,0.00999999,0.00347545
P2217c,2018/7/1,0.99,0,0.00999999,0.00675451
P2217c,2018/8/1,0.14,0,0.86,0.00856793
P2217c,2018/9/1,0,0,1,0.00805322
P2217c,2018/10/1,0.57,0.05,0.38,0.00487035
P2217c,2018/11/1,0.45,0.26,0.29,0.00546795
P2217c,2018/12/1,0,0.05,0.95,0.00575877
P2217c,2019/1/1,0.56,0.08,0.36,0.00530333
P2217c,2019/2/1,0.38,0,0.62,0.00381736
P2217c,2019/3/1,0.48,0,0.52,0.00709607
P2217c,2019/4/1,0,0.6,0.4,0.00596719
P2217c,2019/5/1,0.65,0.35,2.98023e-08,0.00673154
P2217c,2019/6/1,0.44,0,0.56,0.00667565
P2217c,2019/7/1,0.79,0.2,0.00999998,0.00881577
P2217c,2019/8/1,0.48,0.51,0.00999999,0.0112961
P2217c,2019/9/1,0,0,1,0.00573354
P2217Hb,2018/5/1,0.44,0.25,0.31,0.00326438
P2217Hb,2018/6/1,0.3,0.02,0.68,0.00365617
P2217Hb,2018/7/1,0.86,0,0.14,0.00694819
P2217Hb,2018/8/1,0,0.26,0.74,0.00595915
P2217Hb,2018/9/1,0,0.16,0.84,0.00504718
P2217Hb,2018/10/1,0.24,0.75,0.00999999,0.00532267
P2217Hb,2018/11/1,0.54,0,0.46,0.00577479
P2217Hb,2018/12/1,0.75,0,0.25,0.0079007
P2217Hb,2019/1/1,0,0.02,0.98,0.00439542
P2217Hb,2019/2/1,0.4,0.6,0,0.00421848
P2217Hb,2019/3/1,0.95,0,0.05,0.00560399
P2217Hb,2019/4/1,0.41,0.13,0.46,0.00473906
P2217Hb,2019/5/1,0.65,0.35,2.98023e-08,0.00576658
P2217Hb,2019/6/1,0.01,0.43,0.56,0.0041063
P2217Hb,2019/7/1,0.53,0.47,2.98023e-08,0.00835573
P2217Hb,2019/8/1,0.52,0,0.48,0.00777393
P2217Hb,2019/9/1,0.14,0.04,0.82,0.00391933
P2219Hb,2018/5/1,0.26,0.23,0.51,0.00283125
P2219Hb,2018/6/1,0.54,0,0.46,0.0028289
P2219Hb,2018/7/1,0.04,0.06,0.9,0.00601043
P2219Hb,2018/8/1,0,0.75,0.25,0.00587294
P2219Hb,2018/9/1,0,0,1,0
P2219Hb,2018/10/1,0,0,1,0
P2219Hb,2018/11/1,0,0,1,0
P2219Hb,2018/12/1,0,0,1,0
P2219Hb,2019/1/1,0,0,1,0
P2219Hb,2019/2/1,0,0,1,0
P2219Hb,2019/3/1,0.72,0.02,0.26,0.00640466
P2219Hb,2019/4/1,0,0,1,0.008781
P2219Hb,2019/5/1,0,0,1,0.00339367
P2219Hb,2019/6/1,0.59,0.41,2.98023e-08,0.00444549
P2219Hb,2019/7/1,0.37,0,0.63,0.00514264
P2219Hb,2019/8/1,0,0.05,0.95,0.00538288
P2219Hb,2019/9/1,0.21,0,0.79,0.00255642
P2314Ht,2018/5/1,0.61,0.23,0.16,0.00218332
P2314Ht,2018/6/1,0.18,0,0.82,0.00406367
P2314Ht,2018/7/1,0.99,0,0.00999999,0.0101276
P2314Ht,2018/8/1,0.99,0,0.00999999,0.0104882
P2314Ht,2018/9/1,0,0,1,0.00300663
P2314Ht,2018/10/1,0,0.23,0.77,0.00333723
P2314Ht,2018/11/1,0.41,0,0.59,0.00316476
P2314Ht,2018/12/1,0.48,0.33,0.19,0.00477442
P2314Ht,2019/1/1,0.12,0,0.88,0.00305427
P2314Ht,2019/2/1,0.18,0.72,0.1,0.00276133
P2314Ht,2019/3/1,0.32,0,0.68,0.00369424
P2314Ht,2019/4/1,0,0.26,0.74,0.00296236
P2314Ht,2019/5/1,0,0.79,0.21,0.00361164
P2314Ht,2019/6/1,0.99,0,0.00999999,0.00464085
P2314Ht,2019/7/1,0.09,0.08,0.83,0.00874552
P2314Ht,2019/8/1,0,0.98,0.02,0.00929441
P2314Ht,2019/9/1,0,0.11,0.89,0.00330664
P2317Hb,2018/5/1,0,0.95,0.05,0.00386352
P2317Hb,2018/6/1,0.99,0,0.00999999,0.0036491
P2317Hb,2018/7/1,0.4,0.6,0,0.00591781
P2317Hb,2018/8/1,0.47,0,0.53,0.0076739
P2317Hb,2018/9/1,0,0,1,0.0057381
P2317Hb,2018/10/1,0,0.42,0.58,0.00377445
P2317Hb,2018/11/1,0.11,0.02,0.87,0.00274926
P2317Hb,2018/12/1,0.5,0.03,0.47,0.00390552
P2317Hb,2019/1/1,0,0.28,0.72,0.0028401
P2317Hb,2019/2/1,0.15,0.38,0.47,0.00309068
P2317Hb,2019/3/1,0.73,0.22,0.05,0.00258134
P2317Hb,2019/4/1,0.4,0.48,0.12,0.00357213
P2317Hb,2019/5/1,0.09,0.35,0.56,0.00279401
P2317Hb,2019/6/1,0.5,0,0.5,0.00418128
P2317Hb,2019/7/1,0.36,0.42,0.22,0.00815308
P2317Hb,2019/8/1,0.99,0,0.00999999,0.0082579
P2317Hb,2019/9/1,0.01,0,0.99,0.00249855
P2319Hc,2018/5/1,0.63,0.17,0.2,0.00192691
P2319Hc,2018/6/1,0.03,0.19,0.78,0.00210894
P2319Hc,2018/7/1,0.27,0.26,0.47,0.00401882
P2319Hc,2018/8/1,0.28,0.64,0.08,0.00409387
P2319Hc,2018/9/1,0,0,1,0
P2319Hc,2018/10/1,0,0,1,0
P2319Hc,2018/11/1,0,0,1,0
P2319Hc,2018/12/1,0,0,1,0
P2319Hc,2019/1/1,0,0,1,0
P2319Hc,2019/2/1,0.48,0.24,0.28,0.0106212
P2319Hc,2019/3/1,0.99,0,0.00999999,0.0104479
P2319Hc,2019/4/1,0.4,0.6,0,0.00654356
P2319Hc,2019/5/1,0.65,0.35,2.98023e-08,0.00533792
P2319Hc,2019/6/1,0.23,0,0.77,0.00414706
P2319Hc,2019/7/1,0.05,0.66,0.29,0.004906
P2319Hc,2019/8/1,0,0.99,0.00999999,0.00655229
P2319Hc,2019/9/1,0.12,0.08,0.8,0.00358375
P2414Hb,2018/5/1,0.01,0.11,0.88,0.00253072
P2414Hb,2018/6/1,0.26,0.59,0.15,0.00247332
P2414Hb,2018/7/1,0.99,0,0.00999999,0.0105301
P2414Hb,2018/8/1,0.16,0,0.84,0.0111859
P2414Hb,2018/9/1,0,0,1,0.00331373
P2414Hb,2018/10/1,0,0.22,0.78,0.00380006
P2414Hb,2018/11/1,0.26,0,0.74,0.00429378
P2414Hb,2018/12/1,0,0.47,0.53,0.00391818
P2414Hb,2019/1/1,0.24,0.16,0.6,0.00412928
P2414Hb,2019/2/1,0.72,0.03,0.25,0.00393886
P2414Hb,2019/3/1,0.25,0.34,0.41,0.00304389
P2414Hb,2019/4/1,0.35,0,0.65,0.00387858
P2414Hb,2019/5/1,0,0,1,0.00458143
